cv_fold,snp_count,model,score
9,5000,Lasso,0.51
9,5000,ElasticNet,0.8
9,5000,Random Forest,0.51
9,5000,SVR,0.87
9,10000,Ridge,0.86
9,10000,Lasso,0.5
9,10000,ElasticNet,0.84
9,10000,Random Forest,0.54
9,10000,SVR,0.88
9,All,Ridge,0.29
9,All,Lasso,0.27
9,All,ElasticNet,0.5
9,All,Random Forest,0.27
9,All,SVR,0.34
10,10,Ridge,0.72
10,10,Lasso,0.74
10,10,ElasticNet,0.74
10,10,Random Forest,0.64
10,10,SVR,0.72
10,52,Ridge,0.76
10,52,Lasso,0.68
10,52,ElasticNet,0.79
10,52,Random Forest,0.75
10,52,SVR,0.76
10,100,Ridge,0.77
10,100,Lasso,0.68
10,100,ElasticNet,0.81
10,100,Random Forest,0.78
10,100,SVR,0.76
10,500,Ridge,0.82
10,500,Lasso,0.69
10,500,ElasticNet,0.9
10,500,Random Forest,0.84
10,500,SVR,0.87
10,2000,Ridge,0.61
10,2000,Lasso,0.67
10,2000,ElasticNet,0.89
10,2000,Random Forest,0.83
10,2000,SVR,0.91
10,5000,Ridge,0.9
10,5000,Lasso,0.68
10,5000,ElasticNet,0.92
10,5000,Random Forest,0.82
10,5000,SVR,0.93
10,10000,Ridge,0.9
10,10000,Lasso,0.65
10,10000,ElasticNet,0.88
10,10000,Random Forest,0.82
10,10000,SVR,0.93
10,All,Ridge,0.55
10,All,Lasso,0.48
10,All,ElasticNet,0.57
10,All,Random Forest,0.61
10,All,SVR,0.58
11,10,Ridge,0.61
11,10,Lasso,0.62
11,10,ElasticNet,0.61
11,10,Random Forest,0.61
11,10,SVR,0.59
11,52,Ridge,0.76
11,52,Lasso,0.61
11,52,ElasticNet,0.75
11,52,Random Forest,0.68
11,52,SVR,0.74
11,100,Ridge,0.79
11,100,Lasso,0.6
11,100,ElasticNet,0.78
11,100,Random Forest,0.72
11,100,SVR,0.74
11,500,Ridge,0.79
11,500,Lasso,0.66
11,500,ElasticNet,0.85
11,500,Random Forest,0.74
11,500,SVR,0.86
11,2000,Ridge,0.71
11,2000,Lasso,0.72
11,2000,ElasticNet,0.9
11,2000,Random Forest,0.75
11,2000,SVR,0.92
11,5000,Ridge,0.91
11,5000,Lasso,0.55
11,5000,ElasticNet,0.88
11,5000,Random Forest,0.77
11,5000,SVR,0.92
11,10000,Ridge,0.9
11,10000,Lasso,0.6
11,10000,ElasticNet,0.88
11,10000,Random Forest,0.74
11,10000,SVR,0.93
11,All,Ridge,0.41
11,All,Lasso,0.39
11,All,ElasticNet,0.44
11,All,Random Forest,0.44
11,All,SVR,0.42
12,10,Ridge,0.83
12,10,Lasso,0.82
12,10,ElasticNet,0.83
12,10,Random Forest,0.83
12,10,SVR,0.83
12,52,Ridge,0.84
12,52,Lasso,0.76
12,52,ElasticNet,0.87
12,52,Random Forest,0.83
12,52,SVR,0.82
12,100,Ridge,0.86
12,100,Lasso,0.75
12,100,ElasticNet,0.89
12,100,Random Forest,0.85
12,100,SVR,0.83
12,500,Ridge,0.68
12,500,Lasso,0.8
12,500,ElasticNet,0.89
12,500,Random Forest,0.9
12,500,SVR,0.86
12,2000,Ridge,0.77
12,2000,Lasso,0.82
12,2000,ElasticNet,0.95
12,2000,Random Forest,0.88
12,2000,SVR,0.95
12,5000,Ridge,0.92
12,5000,Lasso,0.76
12,5000,ElasticNet,0.92
12,5000,Random Forest,0.89
12,5000,SVR,0.95
12,10000,Ridge,0.92
12,10000,Lasso,0.75
12,10000,ElasticNet,0.91
12,10000,Random Forest,0.88
12,10000,SVR,0.95
12,All,Ridge,0.62
12,All,Lasso,0.6
12,All,ElasticNet,0.5
12,All,Random Forest,0.73
12,All,SVR,0.63
13,10,Ridge,0.75
13,10,Lasso,0.71
13,10,ElasticNet,0.75
13,10,Random Forest,0.68
13,10,SVR,0.72
13,52,Ridge,0.88
13,52,Lasso,0.83
13,52,ElasticNet,0.88
13,52,Random Forest,0.78
13,52,SVR,0.87
