cv_fold,snp_count,model,score
21,10,Naive Bayes,0.79
21,10,Random Forest,0.74
21,10,SVC,0.76
21,50,Logistic Regression,0.83
21,50,Naive Bayes,0.83
21,50,Random Forest,0.81
21,50,SVC,0.83
21,100,Logistic Regression,0.9
21,100,Naive Bayes,0.79
21,100,Random Forest,0.79
21,100,SVC,0.86
21,500,Logistic Regression,0.88
21,500,Naive Bayes,0.86
21,500,Random Forest,0.81
21,500,SVC,0.81
21,2000,Logistic Regression,0.86
21,2000,Naive Bayes,0.9
21,2000,Random Forest,0.83
21,2000,SVC,0.86
21,5000,Logistic Regression,0.88
21,5000,Naive Bayes,0.93
21,5000,Random Forest,0.86
21,5000,SVC,0.81
21,All,Logistic Regression,0.64
21,All,Naive Bayes,0.81
21,All,Random Forest,0.74
21,All,SVC,0.69
22,1,Logistic Regression,0.45
22,1,Naive Bayes,0.5
22,1,Random Forest,0.45
22,1,SVC,0.45
22,10,Logistic Regression,0.76
22,10,Naive Bayes,0.71
22,10,Random Forest,0.74
22,10,SVC,0.76
22,50,Logistic Regression,0.81
22,50,Naive Bayes,0.79
22,50,Random Forest,0.74
22,50,SVC,0.79
22,100,Logistic Regression,0.88
22,100,Naive Bayes,0.79
22,100,Random Forest,0.76
22,100,SVC,0.81
22,500,Logistic Regression,0.88
22,500,Naive Bayes,0.83
22,500,Random Forest,0.83
22,500,SVC,0.88
22,2000,Logistic Regression,0.95
22,2000,Naive Bayes,0.86
22,2000,Random Forest,0.81
22,2000,SVC,0.9
22,5000,Logistic Regression,0.93
22,5000,Naive Bayes,0.93
22,5000,Random Forest,0.83
22,5000,SVC,0.88
22,All,Logistic Regression,0.64
22,All,Naive Bayes,0.71
22,All,Random Forest,0.74
22,All,SVC,0.69
23,1,Logistic Regression,0.64
23,1,Naive Bayes,0.55
23,1,Random Forest,0.64
23,1,SVC,0.64
23,10,Logistic Regression,0.79
23,10,Naive Bayes,0.76
23,10,Random Forest,0.81
23,10,SVC,0.81
23,50,Logistic Regression,0.81
23,50,Naive Bayes,0.76
23,50,Random Forest,0.83
23,50,SVC,0.81
23,100,Logistic Regression,0.9
23,100,Naive Bayes,0.79
23,100,Random Forest,0.86
23,100,SVC,0.86
23,500,Logistic Regression,0.88
23,500,Naive Bayes,0.79
23,500,Random Forest,0.81
23,500,SVC,0.88
23,2000,Logistic Regression,0.95
23,2000,Naive Bayes,0.88
23,2000,Random Forest,0.83
23,2000,SVC,0.95
23,5000,Logistic Regression,0.95
23,5000,Naive Bayes,0.88
23,5000,Random Forest,0.86
23,5000,SVC,0.95
23,All,Logistic Regression,0.71
23,All,Naive Bayes,0.76
23,All,Random Forest,0.74
23,All,SVC,0.71
24,1,Logistic Regression,0.52
24,1,Naive Bayes,0.57
24,1,Random Forest,0.52
24,1,SVC,0.52
24,10,Logistic Regression,0.79
24,10,Naive Bayes,0.76
24,10,Random Forest,0.76
24,10,SVC,0.79
24,50,Logistic Regression,0.9
24,50,Naive Bayes,0.86
24,50,Random Forest,0.86
24,50,SVC,0.88
24,100,Logistic Regression,0.93
24,100,Naive Bayes,0.86
24,100,Random Forest,0.88
24,100,SVC,0.86
24,500,Logistic Regression,0.95
24,500,Naive Bayes,0.88
24,500,Random Forest,0.9
24,500,SVC,0.93
24,2000,Logistic Regression,0.93
24,2000,Naive Bayes,0.9
24,2000,Random Forest,0.88
24,2000,SVC,0.93
24,5000,Logistic Regression,0.98
24,5000,Naive Bayes,0.93
24,5000,Random Forest,0.86
24,5000,SVC,0.98
24,All,Logistic Regression,0.81
24,All,Naive Bayes,0.76
24,All,Random Forest,0.76
24,All,SVC,0.76
25,1,Logistic Regression,0.64
25,1,Naive Bayes,0.57
25,1,Random Forest,0.64
25,1,SVC,0.64
25,10,Logistic Regression,0.79
25,10,Naive Bayes,0.76
25,10,Random Forest,0.67
25,10,SVC,0.79
25,50,Logistic Regression,0.9
25,50,Naive Bayes,0.76
25,50,Random Forest,0.79
25,50,SVC,0.86
25,100,Logistic Regression,0.9
25,100,Naive Bayes,0.81
25,100,Random Forest,0.83
25,100,SVC,0.86
25,500,Logistic Regression,0.93
25,500,Naive Bayes,0.81
25,500,Random Forest,0.81
25,500,SVC,0.86
25,2000,Logistic Regression,0.93
25,2000,Naive Bayes,0.86
25,2000,Random Forest,0.88
25,2000,SVC,0.86
25,5000,Logistic Regression,0.9
25,5000,Naive Bayes,0.86
25,5000,Random Forest,0.83
25,5000,SVC,0.83
25,All,Logistic Regression,0.62
25,All,Naive Bayes,0.74
25,All,Random Forest,0.69
25,All,SVC,0.67
26,1,Logistic Regression,0.55
26,1,Naive Bayes,0.52
26,1,Random Forest,0.55
26,1,SVC,0.55
26,10,Logistic Regression,0.71
26,10,Naive Bayes,0.69
26,10,Random Forest,0.83
26,10,SVC,0.76
26,50,Logistic Regression,0.86
26,50,Naive Bayes,0.62
26,50,Random Forest,0.9
26,50,SVC,0.83
26,100,Logistic Regression,0.93
26,100,Naive Bayes,0.67
26,100,Random Forest,0.83
26,100,SVC,0.93
26,500,Logistic Regression,0.95
26,500,Naive Bayes,0.79
26,500,Random Forest,0.83
26,500,SVC,0.95
26,2000,Logistic Regression,1.0
26,2000,Naive Bayes,0.79
26,2000,Random Forest,0.81
26,2000,SVC,0.98
26,5000,Logistic Regression,0.98
26,5000,Naive Bayes,0.88
26,5000,Random Forest,0.81
26,5000,SVC,0.98
26,All,Logistic Regression,0.69
26,All,Naive Bayes,0.67
26,All,Random Forest,0.67
26,All,SVC,0.64
27,1,Logistic Regression,0.57
27,1,Naive Bayes,0.57
27,1,Random Forest,0.57
27,1,SVC,0.57
27,10,Logistic Regression,0.79
27,10,Naive Bayes,0.81
27,10,Random Forest,0.86
27,10,SVC,0.86
27,50,Logistic Regression,0.9
27,50,Naive Bayes,0.83
27,50,Random Forest,0.88
27,50,SVC,0.88
27,100,Logistic Regression,0.93
27,100,Naive Bayes,0.83
27,100,Random Forest,0.83
27,100,SVC,0.81
27,500,Logistic Regression,0.86
27,500,Naive Bayes,0.83
27,500,Random Forest,0.86
27,500,SVC,0.86
27,2000,Logistic Regression,0.95
27,2000,Naive Bayes,0.9
27,2000,Random Forest,0.88
27,2000,SVC,0.9
27,5000,Logistic Regression,0.9
27,5000,Naive Bayes,0.9
27,5000,Random Forest,0.88
27,5000,SVC,0.93
27,All,Logistic Regression,0.64
27,All,Naive Bayes,0.83
27,All,Random Forest,0.74
27,All,SVC,0.69
28,1,Logistic Regression,0.5
28,1,Naive Bayes,0.48
28,1,Random Forest,0.48
28,1,SVC,0.48
28,10,Logistic Regression,0.74
28,10,Naive Bayes,0.64
28,10,Random Forest,0.71
28,10,SVC,0.76
28,50,Logistic Regression,0.71
28,50,Naive Bayes,0.62
28,50,Random Forest,0.71
28,50,SVC,0.74
28,100,Logistic Regression,0.76
28,100,Naive Bayes,0.64
28,100,Random Forest,0.76
28,100,SVC,0.76
28,500,Logistic Regression,0.83
28,500,Naive Bayes,0.62
28,500,Random Forest,0.71
28,500,SVC,0.83
28,2000,Logistic Regression,0.86
28,2000,Naive Bayes,0.74
28,2000,Random Forest,0.71
28,2000,SVC,0.81
28,5000,Logistic Regression,0.83
28,5000,Naive Bayes,0.74
28,5000,Random Forest,0.71
28,5000,SVC,0.83
28,All,Logistic Regression,0.62
28,All,Naive Bayes,0.62
28,All,Random Forest,0.6
28,All,SVC,0.6
29,1,Logistic Regression,0.62
29,1,Naive Bayes,0.69
29,1,Random Forest,0.62
29,1,SVC,0.62
29,10,Logistic Regression,0.76
29,10,Naive Bayes,0.76
29,10,Random Forest,0.74
29,10,SVC,0.79
29,50,Logistic Regression,0.88
29,50,Naive Bayes,0.83
29,50,Random Forest,0.86
29,50,SVC,0.9
29,100,Logistic Regression,0.98
29,100,Naive Bayes,0.83
29,100,Random Forest,0.86
29,100,SVC,0.95
29,500,Logistic Regression,0.9
29,500,Naive Bayes,0.86
29,500,Random Forest,0.88
29,500,SVC,0.95
29,2000,Logistic Regression,0.98
29,2000,Naive Bayes,0.93
29,2000,Random Forest,0.88
29,2000,SVC,0.95
29,5000,Logistic Regression,0.95
29,5000,Naive Bayes,0.88
29,5000,Random Forest,0.86
29,5000,SVC,0.95
29,All,Logistic Regression,0.69
29,All,Naive Bayes,0.79
29,All,Random Forest,0.76
29,All,SVC,0.69
30,1,Logistic Regression,0.5
30,1,Naive Bayes,0.62
30,1,Random Forest,0.5
30,1,SVC,0.5
30,10,Logistic Regression,0.74
30,10,Naive Bayes,0.69
30,10,Random Forest,0.74
30,10,SVC,0.74
30,50,Logistic Regression,0.81
30,50,Naive Bayes,0.67
30,50,Random Forest,0.76
30,50,SVC,0.74
30,100,Logistic Regression,0.83
30,100,Naive Bayes,0.71
30,100,Random Forest,0.76
30,100,SVC,0.81
30,500,Logistic Regression,0.93
30,500,Naive Bayes,0.76
